Id,SourceTagName,TargetTagName,CreationDate,OwnerUserId,AutoRenameCount,LastAutoRename,Score,ApprovedByUserId,ApprovalDate
"1","uno","arduino-uno","2014-03-01 00:29:53","42","258","2022-03-04 09:47:30","0","42","2014-03-01 00:29:53"
"2","due","arduino-due","2014-03-01 00:30:27","42","33","2022-01-03 09:56:56","0","42","2014-03-01 00:30:27"
"3","gpio","pins","2014-03-01 00:31:52","42","20","2021-01-16 14:16:49","0","42","2014-03-01 00:31:52"
"4","webserver","web-server","2014-03-01 00:33:15","42","25","2021-11-23 10:14:47","0","42","2014-03-01 00:33:15"
"5","strings","string","2014-03-01 00:35:56","42","6","2020-04-07 21:15:22","0","42","2014-03-01 00:35:56"
"6","coding","programming","2014-03-01 02:20:12","11","30","2022-01-24 20:26:38","0","220","2014-03-01 02:20:16"
"7","program","sketch","2014-03-01 02:26:40","220","6","2020-09-10 12:41:48","0","220","2014-03-01 02:35:16"
"8","damage-prevention","safety","2014-03-01 03:01:09","220","2","2019-02-03 13:02:16","0","220","2014-03-01 03:01:09"
"9","leonardo","arduino-leonardo","2014-03-01 03:02:09","42","39","2021-05-31 09:45:23","0","42","2014-03-01 03:02:09"
"10","yun","arduino-yun","2014-03-01 03:04:07","42","20","2020-11-23 10:56:56","0","42","2014-03-01 03:04:07"
"11","tre","arduino-tre","2014-03-01 03:05:34","42","0","","0","42","2014-03-01 03:05:34"
"12","micro","arduino-micro","2014-03-01 03:06:34","42","26","2022-02-11 02:05:47","0","42","2014-03-01 03:06:34"
"13","esplora","arduino-esplora","2014-03-01 03:10:15","42","1","2018-10-04 04:24:09","0","42","2014-03-01 03:10:15"
"14","mega","arduino-mega","2014-03-01 03:10:38","42","84","2021-08-13 11:00:36","0","42","2014-03-01 03:10:38"
"15","mega-2560","arduino-mega-2560","2014-03-01 03:12:28","42","0","","0","42","2014-03-01 03:12:28"
"16","mini","arduino-mini","2014-03-01 03:12:43","42","9","2021-01-03 18:27:45","0","42","2014-03-01 03:12:43"
"17","pro","arduino-pro","2014-03-01 03:13:45","42","0","","0","42","2014-03-01 03:13:45"
"18","pro-mini","arduino-pro-mini","2014-03-01 03:15:00","42","1","2015-05-09 08:53:13","0","42","2014-03-01 03:15:00"
"19","nano","arduino-nano","2014-03-01 03:15:53","42","98","2021-12-30 17:10:17","0","42","2014-03-01 03:15:53"
"20","fio","arduino-fio","2014-03-01 03:16:05","42","0","","0","42","2014-03-01 03:16:05"
"21","one-wire","1-wire","2014-03-02 00:51:14","42","1","2016-10-24 12:08:27","0","42","2014-03-02 00:51:14"
"22","galileo","arduino-galileo","2014-04-17 21:45:18","220","6","2016-03-17 04:40:54","0","220","2014-04-17 21:45:18"
"23","intel-galileo","arduino-galileo","2014-04-17 21:45:47","220","3","2018-08-10 00:31:15","0","220","2014-04-17 21:45:47"
"24","arduino-intel-galileo","arduino-galileo","2014-04-17 21:46:39","220","1","2018-08-10 00:31:15","0","220","2014-04-17 21:46:39"
"25","code-optimisation","code-optimization","2014-04-17 21:48:49","220","4","2021-06-04 16:57:41","0","220","2014-04-17 21:48:49"
"26","wiring","wires","2014-05-23 01:37:23","220","24","2021-04-14 14:25:35","0","220","2014-05-23 01:41:22"
"29","text","string","2016-02-10 23:00:45","11529","9","2020-06-01 21:10:52","0","11529","2016-02-10 23:05:55"
"30","nrf24l01","nrf24l01+","2016-02-26 11:04:56","11529","35","2021-11-13 18:54:27","0","11529","2016-02-26 11:05:09"
"31","processing","processing-lang","2016-02-26 15:04:44","11529","23","2021-12-30 02:21:19","0","11529","2016-02-26 15:04:57"
"32","icsp","isp","2017-09-04 13:05:18","19409","0","","0","",""
"33","cpp","c++","2020-08-09 08:44:56","19409","0","","0","",""
