Id,SourceTagName,TargetTagName,CreationDate,OwnerUserId,AutoRenameCount,LastAutoRename,Score,ApprovedByUserId,ApprovalDate
"3","windows-forms","winforms","2010-07-14 06:34:55","23354","686","2022-02-25 14:47:58","0","23354","2010-07-14 06:34:55"
"5","c-sharp","c#","2010-07-14 22:30:24","17174","231","2022-02-20 23:55:13","0","17174","2010-07-14 22:30:24"
"7","hg","mercurial","2010-07-15 22:46:06","17174","1046","2022-01-28 00:12:41","0","17174","2010-07-15 22:46:06"
"9","dotnet",".net","2010-07-16 00:02:29","17174","2927","2022-03-04 11:07:48","0","17174","2010-07-16 00:02:29"
"10","threading","multithreading","2010-07-16 00:04:00","17174","5138","2022-03-04 18:33:17","0","17174","2010-07-16 00:04:00"
"11","multithread","multithreading","2010-07-16 00:04:21","17174","652","2022-03-01 16:20:13","0","17174","2010-07-16 00:04:21"
"13","rails","ruby-on-rails","2010-07-16 00:06:30","17174","57517","2022-03-05 19:32:51","0","17174","2010-07-16 00:06:30"
"14","js","javascript","2010-07-16 00:07:56","13531","50456","2022-03-06 10:07:41","0","13531","2010-07-16 00:07:56"
"15","vc++","visual-c++","2010-07-16 00:11:44","17174","2687","2022-02-23 09:57:17","0","17174","2010-07-16 00:11:44"
"18","source-control","version-control","2010-07-16 00:17:21","17174","382","2021-09-20 09:37:36","0","17174","2010-07-16 00:17:21"
"19","blog","blogs","2010-07-16 00:18:16","17174","2024","2022-02-27 16:54:50","0","17174","2010-07-16 00:18:16"
"21","ui","user-interface","2010-07-16 00:24:40","17174","8466","2022-03-02 15:03:35","0","17174","2010-07-16 00:24:40"
"22","vs2008","visual-studio-2008","2010-07-16 00:25:49","17174","1214","2022-02-11 12:48:28","0","17174","2010-07-16 00:25:49"
"23","vs2005","visual-studio-2005","2010-07-16 00:26:24","17174","356","2020-02-18 14:42:22","0","17174","2010-07-16 00:26:24"
"24","vs2010","visual-studio-2010","2010-07-16 00:26:44","17174","3403","2022-01-20 11:00:26","0","17174","2010-07-16 00:26:44"
"27","primary-keys","primary-key","2010-07-16 00:32:08","17174","8","2021-07-19 13:49:02","0","17174","2010-07-16 00:32:08"
"28","foreign-key","foreign-keys","2010-07-16 00:33:09","17174","378","2022-03-04 14:13:30","0","17174","2010-07-16 00:33:09"
"29","postgres","postgresql","2010-07-16 00:37:27","17174","8338","2022-03-04 18:17:05","0","17174","2010-07-16 00:37:27"
"30","macosx","macos","2010-07-16 01:05:40","13531","2355","2021-10-25 15:55:34","0","13531","2010-07-16 01:05:40"
"32","j2me","java-me","2010-07-16 01:12:15","13531","3476","2021-12-07 19:26:40","0","13531","2010-07-16 01:12:15"
"33","ie","internet-explorer","2010-07-16 02:35:11","1228","6113","2022-02-24 06:22:50","0","1228","2010-07-16 02:35:11"
"34","msie","internet-explorer","2010-07-16 02:35:42","1228","66","2020-06-10 21:34:12","0","1228","2010-07-16 02:35:42"
"35","applets","applet","2010-07-16 15:51:08","1288","144","2021-07-20 04:05:32","0","1288","2010-07-16 15:51:08"
"38","ejb-3","ejb-3.0","2010-07-16 15:51:08","1288","8","2019-08-05 14:28:43","0","1288","2010-07-16 15:51:08"
"45","glassfish-v3","glassfish-3","2010-07-16 15:51:08","1288","7","2017-01-11 08:44:51","0","1288","2010-07-16 15:51:08"
"53","java-5.0","java-5","2010-07-16 15:51:08","1288","0","","0","1288","2010-07-16 15:51:08"
"56","java-6.0","java-6","2010-07-16 15:51:08","1288","0","","0","1288","2010-07-16 15:51:08"
"59","java-7.0","java-7","2010-07-16 15:51:08","1288","0","","0","1288","2010-07-16 15:51:08"
"62","jee","jakarta-ee","2010-07-16 15:51:08","1288","2028","2022-03-04 14:31:01","0","1288","2010-07-16 15:51:08"
"67","jee-5","java-ee-5","2010-07-16 15:51:08","1288","7","2011-07-14 15:45:15","0","1288","2010-07-16 15:51:08"
"72","jee-6","java-ee-6","2010-07-16 15:51:08","1288","57","2016-03-07 10:47:00","0","1288","2010-07-16 15:51:08"
"75","java.io","java-io","2010-07-16 15:51:08","1288","100","2021-05-07 17:25:28","0","1288","2010-07-16 15:51:08"
"79","jpa-2","jpa-2.0","2010-07-16 15:51:08","1288","53","2019-03-22 10:32:30","0","1288","2010-07-16 15:51:08"
"83","jsf2.0","jsf-2","2010-07-16 15:51:08","1288","325","2017-05-24 15:43:32","0","1288","2010-07-16 15:51:08"
"84","jsp-tag","jsp-tags","2010-07-16 15:51:08","1288","4","2014-08-19 22:29:14","0","1288","2010-07-16 15:51:08"
"85","jsp-tag-files","jsp-tags","2010-07-16 15:51:08","1288","4","2016-04-10 17:20:55","0","1288","2010-07-16 15:51:08"
"88","jsp-fragment","jsp-fragments","2010-07-16 15:51:08","1288","0","","0","1288","2010-07-16 15:51:08"
"90","jsp-f","jsp-fragments","2010-07-16 15:51:08","1288","0","","0","1288","2010-07-16 15:51:08"
"91","jspf","jsp-fragments","2010-07-16 15:51:08","1288","35","2021-11-08 15:09:18","0","1288","2010-07-16 15:51:08"
"93","servlet","servlets","2010-07-16 15:51:08","1288","9025","2022-03-05 09:39:34","0","1288","2010-07-16 15:51:08"
"95","servlet-filter","servlet-filters","2010-07-16 15:51:08","1288","69","2020-01-10 06:37:22","0","1288","2010-07-16 15:51:08"
"98","tomcat-5","tomcat-5.0","2010-07-16 15:51:08","1288","0","","0","1288","2010-07-16 15:51:08"
"102","tomcat-6","tomcat-6.0","2010-07-16 15:51:08","1288","0","","0","1288","2010-07-16 15:51:08"
"105","weblogic-8","weblogic-8.x","2010-07-16 15:51:08","1288","0","","0","1288","2010-07-16 15:51:08"
"107","weblogic-8.1","weblogic-8.x","2010-07-16 15:51:08","1288","0","","0","1288","2010-07-16 15:51:08"
"113","weblogic-10","weblogic-10.x","2010-07-16 15:51:08","1288","0","","0","1288","2010-07-16 15:51:08"
"114","weblogic10.x","weblogic-10.x","2010-07-16 15:51:08","1288","39","2014-10-09 06:42:06","0","1288","2010-07-16 15:51:08"
"116","weblogic-11","weblogic-11g","2010-07-16 15:51:08","1288","0","","0","1288","2010-07-16 15:51:08"
"118","eclipse-ganymede","eclipse-3.4","2010-07-16 15:51:08","1288","2","2010-11-17 07:37:55","0","1288","2010-07-16 15:51:08"
"119","eclipse-galileo","eclipse-3.5","2010-07-16 15:51:08","1288","30","2013-04-28 16:21:51","0","1288","2010-07-16 15:51:08"
"120","eclipse-helios","eclipse-3.6","2010-07-16 15:51:08","1288","136","2015-03-02 09:59:15","0","1288","2010-07-16 15:51:08"
"124","msvc++","visual-c++","2010-07-16 15:51:08","1288","233","2021-09-02 01:00:24","0","1288","2010-07-16 15:51:08"
"125","msvc","visual-c++","2010-07-16 15:51:08","1288","1201","2022-03-04 13:13:55","0","1288","2010-07-16 15:51:08"
"127","team-system","visual-studio-team-system","2010-07-16 15:51:08","1288","96","2011-02-06 11:00:01","0","1288","2010-07-16 15:51:08"
"129","visual-web","visual-web-developer","2010-07-16 15:51:08","1288","1","2016-10-18 11:11:21","0","1288","2010-07-16 15:51:08"
"130","algorithms","algorithm","2010-07-16 15:51:08","1288","3332","2022-03-06 01:35:35","0","1288","2010-07-16 15:51:08"
"131","ai","artificial-intelligence","2010-07-16 15:51:08","1288","2165","2022-03-05 21:50:50","0","1288","2010-07-16 15:51:08"
"133","astar","a-star","2010-07-16 15:51:08","1288","173","2022-02-13 11:30:19","0","1288","2010-07-16 15:51:08"
"135","baseclasses","base-class","2010-07-16 15:51:08","1288","8","2016-03-01 09:38:40","0","1288","2010-07-16 15:51:08"
"136","batch-process","batch-processing","2010-07-16 15:51:08","1288","7","2020-02-24 11:24:58","0","1288","2010-07-16 15:51:08"
"148","bit-field","bit-fields","2010-07-16 15:51:08","1288","7","2020-02-12 03:50:56","0","1288","2010-07-16 15:51:08"
"153","code-snippet","code-snippets","2010-07-16 15:51:08","1288","28","2021-08-24 15:55:43","0","1288","2010-07-16 15:51:08"
"156","snippets","code-snippets","2010-07-16 15:51:08","1288","238","2022-02-23 12:17:03","0","1288","2010-07-16 15:51:08"
"157","snippet","code-snippets","2010-07-16 15:51:08","1288","342","2022-02-25 11:57:37","0","1288","2010-07-16 15:51:08"
"158","code-style","coding-style","2010-07-16 15:51:08","1288","125","2021-12-28 23:57:05","0","1288","2010-07-16 15:51:08"
"159","programming-style","coding-style","2010-07-16 15:51:08","1288","20","2022-01-31 07:31:24","0","1288","2010-07-16 15:51:08"
"160","xsrf","csrf","2010-07-16 15:51:08","1288","80","2022-01-16 13:52:09","0","1288","2010-07-16 15:51:08"
"162","dal","data-access-layer","2010-07-16 15:51:08","1288","166","2022-02-15 12:36:56","0","1288","2010-07-16 15:51:08"
"164","di","dependency-injection","2010-07-16 15:51:08","1288","402","2022-03-05 23:06:07","0","1288","2010-07-16 15:51:08"
"167","discussions","discussion","2010-07-16 15:51:08","1288","6","2012-02-13 11:59:10","0","1288","2010-07-16 15:51:08"
"168","discuss","discussion","2010-07-16 15:51:08","1288","2","2011-04-14 14:26:43","0","1288","2010-07-16 15:51:08"
"169","conversation","discussion","2010-07-16 15:51:08","1288","33","2012-02-21 07:57:55","0","1288","2010-07-16 15:51:08"
"170","conversations","discussion","2010-07-16 15:51:08","1288","7","2011-04-09 18:48:28","0","1288","2010-07-16 15:51:08"
"171","ddd","domain-driven-design","2010-07-16 15:51:08","1288","1434","2022-03-05 19:42:39","0","1288","2010-07-16 15:51:08"
"173","drag-drop","drag-and-drop","2010-07-16 15:51:08","1288","38","2021-06-28 01:21:22","0","1288","2010-07-16 15:51:08"
"176","dont-repeat-yourself","dry","2010-07-16 15:51:08","1288","7","2014-03-01 22:04:40","0","1288","2010-07-16 15:51:08"
"177","daylight-savings","dst","2010-07-16 15:51:08","1288","38","2021-06-17 20:00:08","0","1288","2010-07-16 15:51:08"
